"id","PID","ucivit_id","date.time","age","gender","education","alarm","fire","fractions","percent","tip","shirt","newspaper","prob1","prob2","howoften","input1","input2","input3","input4","input5","input6","sub_n1","sub_n2","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","correct_answer","given_answer","numerical_format","condition","correctness","bias_error","answer1","answer2","amazon_codex"
1,1,"","2018-07-18 15:46:06.021437",28,"f",4,4,5,6,5,5,6,6,5,5,1,71,80,80,80,90,99,5.5,4.25,4.88,0.887,-1,1,-1,0.909,-1,0.896,0.65,"frequency",1,0,0.13939465301927,58,89,"O81GEW"
2,1,"","2018-07-18 15:46:10.588454",27,"m",3,3,3,4,2,3,4,5,5,3,2,1,30,1,50,2,60,3.25,3.75,3.5,0.033,-1,0.02,-1,0.033,-1,0.02,0.1,"frequency",1,0,0.698970004336019,1,10,"YNSLEX"
3,1,"62a65b29cebde671","2018-07-18 15:47:22.252417",23,"f",3,3,2,6,4,6,6,4,6,2,2,1,300,50,60,40,100,5.5,3.5,4.5,0.003,-1,0.833,-1,0.4,-1,0.006,0,"frequency",1,1,0,1,500,"HNDHT3"
4,1,"","2018-07-18 15:47:31.279315",32,"f",4,3,1,5,5,5,5,6,5,1,1,30,100,25,30,5,30,5,3.25,4.13,0.3,-1,0.833,-1,0.167,-1,0.681,0.68,"frequency",1,1,0.000638199206548843,250,367,"ZY4541"
5,1,"","2018-07-18 15:47:54.076001",25,"m",3,3,3,3,4,5,4,5,2,6,6,33,145,14,156,14,140,4,4.75,4.38,0.228,-1,0.09,-1,0.1,-1,0.21,0.07,"frequency",1,0,0.477121254719662,7,100,"46TPHK"
6,1,"null","2018-07-18 15:48:17.118605",29,"m",4,1,1,5,4,5,6,6,5,6,1,10,100,0,100,10,100,5,4.5,4.75,0.1,-1,0,-1,0.1,-1,0,0,"frequency",1,1,0,0,100,"LKJZCE"
7,1,"null","2018-07-18 15:48:34.693713",19,"m",2,3,1,6,6,6,6,5,6,3,1,1,500,1,7,6,7,6,3.75,4.88,0.002,-1,0.143,-1,0.857,-1,0,0,"frequency",1,1,0,0,855,"B7PNWJ"
8,1,"","2018-07-18 15:48:41.638441",26,"f",2,4,2,4,5,6,5,6,6,1,2,1,1000,1,800,1,100,5,3.75,4.38,0.001,-1,0.001,-1,0.01,-1,0,0,"frequency",1,1,0,0,1000,"FZE2VM"
9,3,"","2018-07-18 15:49:23.820186",22,"f",3,2,1,6,6,5,6,6,1,1,1,1,1000,1,2,1,100,5.75,2.25,4,0.001,-1,0.5,-1,0.01,-1,0.048,0.25,"frequency",1,0,0.71669877129645,250,1000,"URVIX1"
10,1,"","2018-07-18 15:49:26.987219",21,"m",2,4,2,2,4,5,5,4,3,3,3,1,10,998,1000,7,10,4,3.25,3.63,0.1,-1,0.998,-1,0.7,-1,0.137,1,"frequency",1,0,0.863279432843593,1,1,"WWT0CV"
11,1,"","2018-07-18 15:50:08.322744",31,"f",3,3,3,5,5,5,5,6,4,4,2,5,10,6,10,6,10,5,4,4.5,0.5,-1,0.6,-1,0.6,-1,0.5,0.4,"frequency",1,0,0.0969100130080564,2,5,"28LGN9"
12,3,"null","2018-07-18 15:51:06.973248",31,"m",2,3,2,4,4,4,5,5,3,5,2,1,1000,99,100,1,500,4.25,3.75,4,0.001,-1,0.99,-1,0.002,-1,0.331,0.5,"frequency",1,0,0.1791420105603,1,2,"ACKVVV"
