"n_gram","freqz.x","probz.x","numerical_format.x","probzSmooth.x","freqz.y","probz.y","numerical_format.y","probzSmooth.y","oddsR","Experiment","Ngrams"
"AB",159,0.0694020078568311,"frequency",0.0681721346399659,118,0.0752551020408163,"probability",0.0732758620689655,0.925253503321768,"Study1",2
"AC",35,0.0152771715408119,"frequency",0.0153387302939923,20,0.0127551020408163,"probability",0.0129310344827586,1.18909562959758,"Study1",2
"AD",5,0.00218245307725884,"frequency",0.00255645504899872,3,0.00191326530612245,"probability",0.00246305418719212,1.03801794105083,"Study1",2
"AE",10,0.00436490615451768,"frequency",0.00468683425649766,2,0.00127551020408163,"probability",0.00184729064039409,2.54437785388128,"Study1",2
"AF",4,0.00174596246180707,"frequency",0.00213037920749893,4,0.00255102040816327,"probability",0.00307881773399015,0.691289496157131,"Study1",2
"AG",1,0.000436490615451768,"frequency",0.000852151682999574,0,0,"probability",0.00061576354679803,1.38422174840085,"Study1",2
"AH",25,0.0109122653862942,"frequency",0.0110779718789945,14,0.00892857142857143,"probability",0.00923645320197044,1.20160850208244,"Study1",2
"BA",88,0.0384111741597556,"frequency",0.037920749893481,36,0.0229591836734694,"probability",0.0227832512315271,1.6906015847557,"Study1",2
"BC",112,0.048886948930598,"frequency",0.0481465700894759,79,0.0503826530612245,"probability",0.0492610837438424,0.976230975828111,"Study1",2
"BD",155,0.067656045395024,"frequency",0.0664678312739668,114,0.0727040816326531,"probability",0.0708128078817734,0.934272617228584,"Study1",2
"BE",30,0.013094718463553,"frequency",0.0132083510864934,24,0.0153061224489796,"probability",0.0153940886699507,0.856113989637306,"Study1",2
"BF",9,0.00392841553906591,"frequency",0.00426075841499787,0,0,"probability",0.00061576354679803,6.94480102695764,"Study1",2
"BG",1,0.000436490615451768,"frequency",0.000852151682999574,0,0,"probability",0.00061576354679803,1.38422174840085,"Study1",2
"BH",22,0.00960279353993889,"frequency",0.0097997443544951,23,0.0146683673469388,"probability",0.0147783251231527,0.65978198508319,"Study1",2
"CA",39,0.0170231340026189,"frequency",0.0170430336599915,13,0.00829081632653061,"probability",0.00862068965517241,1.99393151278717,"Study1",2
"CB",64,0.0279353993889131,"frequency",0.0276949296974862,44,0.0280612244897959,"probability",0.0277093596059113,0.999464407439867,"Study1",2
"CD",25,0.0109122653862942,"frequency",0.0110779718789945,22,0.014030612244898,"probability",0.0141625615763547,0.779761347245378,"Study1",2
"CE",24,0.0104757747708424,"frequency",0.0106518960374947,23,0.0146683673469388,"probability",0.0147783251231527,0.717772035601493,"Study1",2
"CF",83,0.0362287210824967,"frequency",0.0357903706859821,34,0.0216836734693878,"probability",0.021551724137931,1.68519664162616,"Study1",2
"CG",34,0.0148406809253601,"frequency",0.0149126544524925,21,0.0133928571428571,"probability",0.0135467980295567,1.10235136835483,"Study1",2
"CH",61,0.0266259275425578,"frequency",0.0264167021729868,37,0.0235969387755102,"probability",0.0233990147783251,1.13246573764828,"Study1",2
"DA",4,0.00174596246180707,"frequency",0.00213037920749893,6,0.0038265306122449,"probability",0.00431034482758621,0.493168232280102,"Study1",2
