n_gram,freqz.x,probz.x,numerical_format.x,probzSmooth.x,freqz.y,probz.y,numerical_format.y,probzSmooth.y,oddsR,Experiment,Ngrams,CountFreq,CountProb,CountNGRAMS,SE,OR,Lower,Upper,Sig,Frequency
AB,159,0.069402008,frequency,0.068172135,118,0.075255102,probability,0.073275862,0.925253503,Study1,2,2291,1568,56,0.125598808,0.925253503,0.723350647,1.183511826,N,159
AC,35,0.015277172,frequency,0.01533873,20,0.012755102,probability,0.012931034,1.18909563,Study1,2,2291,1568,56,0.276502023,1.18909563,0.69159765,2.044466772,N,35
AD,5,0.002182453,frequency,0.002556455,3,0.001913265,probability,0.002463054,1.038017941,Study1,2,2291,1568,56,0.646305747,1.038017941,0.292454496,3.684269732,N,5
AE,10,0.004364906,frequency,0.004686834,2,0.00127551,probability,0.001847291,2.544377854,Study1,2,2291,1568,56,0.652140636,2.544377854,0.708709559,9.134713342,N,10
AF,4,0.001745962,frequency,0.002130379,4,0.00255102,probability,0.003078818,0.691289496,Study1,2,2291,1568,56,0.633280862,0.691289496,0.199802264,2.391770532,N,4
AG,1,0.000436491,frequency,0.000852152,0,0,probability,0.000615764,1.384221748,Study1,2,2291,1568,56,1.22517043,1.384221748,0.125406355,15.27888958,N,1
AH,25,0.010912265,frequency,0.011077972,14,0.008928571,probability,0.009236453,1.201608502,Study1,2,2291,1568,56,0.325853584,1.201608502,0.634440389,2.275805604,N,25
BA,88,0.038411174,frequency,0.03792075,36,0.022959184,probability,0.022783251,1.690601585,Study1,2,2291,1568,56,0.198332982,1.690601585,1.146085003,2.493823505,Y,88
BC,112,0.048886949,frequency,0.04814657,79,0.050382653,probability,0.049261084,0.976230976,Study1,2,2291,1568,56,0.149816066,0.976230976,0.727824338,1.309418864,N,112
BD,155,0.067656045,frequency,0.066467831,114,0.072704082,probability,0.070812808,0.934272617,Study1,2,2291,1568,56,0.127377438,0.934272617,0.727859837,1.199221716,N,155
BE,30,0.013094718,frequency,0.013208351,24,0.015306122,probability,0.015394089,0.85611399,Study1,2,2291,1568,56,0.270767861,0.85611399,0.503557812,1.455505496,N,30
BF,9,0.003928416,frequency,0.004260758,0,0,probability,0.000615764,6.944801027,Study1,2,2291,1568,56,1.049306458,6.944801027,0.888120958,54.30596007,N,9
BG,1,0.000436491,frequency,0.000852152,0,0,probability,0.000615764,1.384221748,Study1,2,2291,1568,56,1.22517043,1.384221748,0.125406355,15.27888958,N,1
BH,22,0.009602794,frequency,0.009799744,23,0.014668367,probability,0.014778325,0.659781985,Study1,2,2291,1568,56,0.29359874,0.659781985,0.371094195,1.1730506,N,23
CA,39,0.017023134,frequency,0.017043034,13,0.008290816,probability,0.00862069,1.993931513,Study1,2,2291,1568,56,0.312222922,1.993931513,1.081286351,3.676882516,Y,39
CB,64,0.027935399,frequency,0.02769493,44,0.028061224,probability,0.02770936,0.999464407,Study1,2,2291,1568,56,0.196668152,0.999464407,0.679766914,1.469517097,N,64
CD,25,0.010912265,frequency,0.011077972,22,0.014030612,probability,0.014162562,0.779761347,Study1,2,2291,1568,56,0.288088975,0.779761347,0.443338469,1.371475298,N,25
CE,24,0.010475775,frequency,0.010651896,23,0.014668367,probability,0.014778325,0.717772036,Study1,2,2291,1568,56,0.287614899,0.717772036,0.408473409,1.261273521,N,24
CF,83,0.036228721,frequency,0.035790371,34,0.021683673,probability,0.021551724,1.685196642,Study1,2,2291,1568,56,0.203831814,1.685196642,1.130174339,2.512787296,Y,83
CG,34,0.014840681,frequency,0.014912654,21,0.013392857,probability,0.013546798,1.102351368,Study1,2,2291,1568,56,0.274012262,1.102351368,0.64428215,1.886096858,N,34
CH,61,0.026625928,frequency,0.026416702,37,0.023596939,probability,0.023399015,1.132465738,Study1,2,2291,1568,56,0.20859764,1.132465738,0.752424928,1.704460603,N,61
DA,4,0.001745962,frequency,0.002130379,6,0.003826531,probability,0.004310345,0.493168232,Study1,2,2291,1568,56,0.586432057,0.493168232,0.15624785,1.556596817,N,6
DB,104,0.045395024,frequency,0.044737963,67,0.042729592,probability,0.041871921,1.071653461,Study1,2,2291,1568,56,0.159117553,1.071653461,0.784532203,1.463854683,N,104
DC,20,0.008729812,frequency,0.008947593,20,0.012755102,probability,0.012931034,0.68916595,Study1,2,2291,1568,56,0.310309278,0.68916595,0.375131231,1.266089486,N,20
DE,181,0.079004801,frequency,0.077545803,134,0.085459184,probability,0.083128079,0.927202121,Study1,2,2291,1568,56,0.118471087,0.927202121,0.735071851,1.169550668,N,181
DF,10,0.004364906,frequency,0.004686834,5,0.003188776,probability,0.003694581,1.269834475,Study1,2,2291,1568,56,0.508548805,1.269834475,0.46866404,3.440587406,N,10
DG,0,0,frequency,0.000426076,1,0.000637755,probability,0.001231527,0.3456948,Study1,2,2291,1568,56,1.225170511,0.3456948,0.031318911,3.815742323,N,1
DH,9,0.003928416,frequency,0.004260758,12,0.007653061,probability,0.008004926,0.530265627,Study1,2,2291,1568,56,0.421866932,0.530265627,0.231949315,1.212254648,N,12
EA,14,0.006110869,frequency,0.006391138,5,0.003188776,probability,0.003694581,1.734562607,Study1,2,2291,1568,56,0.484128285,1.734562607,0.671570582,4.480106066,N,14
EB,43,0.018769096,frequency,0.018747337,12,0.007653061,probability,0.008004926,2.367614149,Study1,2,2291,1568,56,0.317340981,2.367614149,1.27111496,4.409984095,Y,43
EC,26,0.011348756,frequency,0.011504048,29,0.018494898,probability,0.018472906,0.618362069,Study1,2,2291,1568,56,0.26726159,0.618362069,0.366222635,1.044096163,N,29
ED,122,0.053251855,frequency,0.052407329,85,0.054209184,probability,0.052955665,0.989072695,Study1,2,2291,1568,56,0.144422379,0.989072695,0.745235272,1.31269256,N,122
EF,116,0.050632911,frequency,0.049850873,89,0.056760204,probability,0.055418719,0.89426009,Study1,2,2291,1568,56,0.144077898,0.89426009,0.674252036,1.186056646,N,116
