n_gram,freqz.x,probz.x,correctness.x,probzSmooth.x,freqz.y,probz.y,correctness.y,probzSmooth.y,oddsR,numerical_format,Ngrams,CountFreq,CountProb,CountNGRAMS,SE,OR,Lower,Upper,Sig,Frequency
AB,245,0.074309979,incorrect,0.073367134,95,0.071321321,correct,0.069164265,1.065577728,frequency,2,3297,1332,56,0.124810076,1.065577728,0.834343051,1.360898125,N,245
AC,57,0.017288444,incorrect,0.017297942,16,0.012012012,correct,0.012247839,1.41958404,frequency,2,3297,1332,56,0.277664894,1.41958404,0.823773806,2.446325473,N,57
AD,13,0.003942978,incorrect,0.004175365,1,0.000750751,correct,0.001440922,2.905660377,frequency,2,3297,1332,56,0.756603967,2.905660377,0.65949355,12.80203912,N,13
AE,13,0.003942978,incorrect,0.004175365,6,0.004504505,correct,0.005043228,0.827193771,frequency,2,3297,1332,56,0.464014351,0.827193771,0.333142673,2.05392341,N,13
AF,8,0.002426448,incorrect,0.002684163,2,0.001501502,correct,0.002161383,1.242523923,frequency,2,3297,1332,56,0.667432026,1.242523923,0.335873043,4.596575197,N,8
AG,3,0.000909918,incorrect,0.001192962,1,0.000750751,correct,0.001440922,0.827709764,frequency,2,3297,1332,56,0.866614157,0.827709764,0.151426267,4.524336947,N,3
AH,54,0.016378526,incorrect,0.016403221,11,0.008258258,correct,0.008645533,1.912270063,frequency,2,3297,1332,56,0.320226654,1.912270063,1.020861429,3.582050107,Y,54
BA,130,0.039429785,incorrect,0.03906949,53,0.03978979,correct,0.038904899,1.004402602,frequency,2,3297,1332,56,0.164960898,1.004402602,0.726926127,1.387795197,N,130
BC,160,0.048528966,incorrect,0.048016701,57,0.042792793,correct,0.041786744,1.156609195,frequency,2,3297,1332,56,0.15658136,1.156609195,0.850945794,1.572068209,N,160
BD,231,0.070063694,incorrect,0.069191769,81,0.060810811,correct,0.05907781,1.183923227,frequency,2,3297,1332,56,0.13263323,1.183923227,0.912901364,1.535405972,N,231
BE,25,0.007582651,incorrect,0.00775425,21,0.015765766,correct,0.015850144,0.48523103,frequency,2,3297,1332,56,0.291459636,0.48523103,0.274064709,0.859100588,Y,25
BF,15,0.004549591,incorrect,0.004771846,2,0.001501502,correct,0.002161383,2.213565078,frequency,2,3297,1332,56,0.629964305,2.213565078,0.643955494,7.609020192,N,15
BG,4,0.001213224,incorrect,0.001491202,0,0,correct,0.000720461,2.071385902,frequency,2,3297,1332,56,1.095910428,2.071385902,0.241770455,17.74674893,N,4
BH,34,0.010312405,incorrect,0.010438413,10,0.007507508,correct,0.007925072,1.320483314,frequency,2,3297,1332,56,0.347142798,1.320483314,0.668711824,2.607515105,N,34
CA,69,0.020928116,incorrect,0.020876827,19,0.014264264,correct,0.014409222,1.458422175,frequency,2,3297,1332,56,0.255580335,1.458422175,0.883748898,2.406786865,N,69
CB,88,0.026690931,incorrect,0.026543394,33,0.024774775,correct,0.024495677,1.085874423,frequency,2,3297,1332,56,0.204187768,1.085874423,0.727731991,1.620271307,N,88
CD,36,0.010919017,incorrect,0.011034894,11,0.008258258,correct,0.008645533,1.279453156,frequency,2,3297,1332,56,0.333749416,1.279453156,0.6651677,2.461034083,N,36
CE,37,0.011222323,incorrect,0.011333135,12,0.009009009,correct,0.009365994,1.212437638,frequency,2,3297,1332,56,0.322905247,1.212437638,0.643868109,2.283084074,N,37
CF,92,0.027904155,incorrect,0.027736356,48,0.036036036,correct,0.035302594,0.779560536,frequency,2,3297,1332,56,0.179483776,0.779560536,0.54836556,1.108229024,N,92
