"id","PID","ucivit_id","date/time","age","gender","education","alarm","fire","fractions","percent","tip","shirt","newspaper","prob1","prob2","howoften","input1","input2","input3","input4","input5","input6","sub_n1","sub_n2","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","correct_answer","given_answer","numerical_format","condition","correctness","bias_error","answer1","answer2","amazon_codex"
"1","1","","2018-07-25 15:43:09.877909","29","m","4","3","3","4","4","4","4","4","4","4","3","27","27","27","NA","NA","NA","4.0","3.75","3.88","0.27","-1.0","0.27","-1.0","0.27","-1.0","0.27","0.73","probability","2","0","0.431959095961468","73","NA","KMM50K"
"2","2","","2018-07-25 15:45:20.789378","26","m","4","3","3","4","4","4","4","4","4","4","3","12","13","14","NA","NA","NA","4.0","3.75","3.88","0.12","-1.0","0.13","-1.0","0.14","-1.0","0.112","0.87","probability","2","0","0.890301229948437","87","NA","9HNONP"
"3","2","1544c3fca858af86","2018-07-25 15:45:36.481659","32","m","3","3","3","5","5","6","6","5","6","5","1","12","15","20","NA","NA","NA","5.5","4.25","4.88","0.12","-1.0","0.15","-1.0","0.2","-1.0","0.093","1.0","probability","2","0","1.03151705144606","100","NA","MV6MAT"
"4","2","","2018-07-25 15:46:28.044081","30","m","4","2","2","6","6","6","6","6","3","3","3","2","100","50","NA","NA","NA","6.0","3.75","4.88","0.02","-1.0","1.0","-1.0","0.5","-1.0","0.039","1.0","probability","2","0","1.4089353929735","100","NA","YQH41A"
"5","1","","2018-07-25 15:46:55.406732","37","m","2","3","3","4","5","5","5","6","6","1","1","10","100","80","NA","NA","NA","4.75","3.5","4.13","0.1","-1.0","1.0","-1.0","0.8","-1.0","0.122","0.1","probability","2","0","0.0863598306747482","10","NA","GDTSN1"
"6","1","","2018-07-25 15:47:07.267025","20","m","2","5","2","3","3","4","4","5","3","2","2","15","35","27","NA","NA","NA","3.5","3.0","3.25","0.15","-1.0","0.35","-1.0","0.27","-1.0","0.186","0.5","probability","2","0","0.429457060118102","50","NA","Y5NBHD"
"7","2","","2018-07-25 15:47:15.726712","32","f","3","2","2","4","4","4","5","4","6","1","2","1","95","20","NA","NA","NA","4.25","3.25","3.75","0.01","-1.0","0.95","-1.0","0.2","-1.0","0.046","0.2","probability","2","0","0.638272163982407","20","NA","V0G92I"
"8","1","","2018-07-25 15:47:26.437112","31","m","2","3","2","4","4","4","4","4","2","2","3","10","10","10","NA","NA","NA","4.0","2.75","3.38","0.1","-1.0","0.1","-1.0","0.1","-1.0","0.1","0.1","probability","2","1","0.0","10","NA","IBSYLX"
"9","1","","2018-07-25 15:47:32.046188","20","m","2","5","2","3","3","4","4","5","3","2","2","15","35","27","NA","NA","NA","3.5","3.0","3.25","0.15","-1.0","0.35","-1.0","0.27","-1.0","0.186","0.5","probability","2","0","0.429457060118102","50","NA","DTXC1K"
"10","1","","2018-07-25 15:47:32.474964","20","m","2","5","2","3","3","4","4","5","3","2","2","15","35","27","NA","NA","NA","3.5","3.0","3.25","0.15","-1.0","0.35","-1.0","0.27","-1.0","0.186","0.5","probability","2","0","0.429457060118102","50","NA","7A288Q"
"11","1","","2018-07-25 15:47:32.761525","20","m","2","5","2","3","3","4","4","5","3","2","2","15","35","27","NA","NA","NA","3.5","3.0","3.25","0.15","-1.0","0.35","-1.0","0.27","-1.0","0.186","0.5","probability","2","0","0.429457060118102","50","NA","HJFW9W"
"12","1","","2018-07-25 15:47:33.049898","20","m","2","5","2","3","3","4","4","5","3","2","2","15","35","27","NA","NA","NA","3.5","3.0","3.25","0.15","-1.0","0.35","-1.0","0.27","-1.0","0.186","0.5","probability","2","0","0.429457060118102","50","NA","IL23MD"
"13","2","5aa323e560a75e0e","2018-07-25 15:47:49.235650","23","f","2","3","2","5","5","6","6","5","6","1","1","2","4","94","NA","NA","NA","5.5","3.25","4.38","0.02","-1.0","0.04","-1.0","0.94","-1.0","0.001","0.04","probability","2","0","1.60205999132796","4","NA","L2Y6QH"
"14","2","","2018-07-25 15:47:57.960192","24","f","4","4","1","5","5","5","5","5","5","5","2","15","20","25","NA","NA","NA","5.0","4.25","4.63","0.15","-1.0","0.2","-1.0","0.25","-1.0","0.124","0.2","probability","2","0","0.207608310501746","20","NA","MNY8YP"
"15","2","","2018-07-25 15:48:09.194516","37","m","3","2","2","5","5","3","5","5","4","2","2","25","20","75","NA","NA","NA","4.5","3.25","3.88","0.25","-1.0","0.2","-1.0","0.75","-1.0","0.082","0.25","probability","2","0","0.484126156288321","25","NA","BDXD6C"
"16","8","","2018-07-25 15:48:38.958062","32","f","2","2","1","3","5","2","5","4","5","2","2","15","5","5","NA","NA","NA","3.75","3.25","3.5","0.15","-1.0","0.05","-1.0","0.05","-1.0","0.15","0.05","probability","2","0","0.477121254719662","5","NA","7A3YU3"
"17","2","null","2018-07-25 15:49:14.875122","33","f","3","3","1","4","4","3","3","4","6","1","1","2","70","90","NA","NA","NA","3.5","3.0","3.25","0.02","-1.0","0.7","-1.0","0.9","-1.0","0.016","0.7","probability","2","0","1.64097805735833","70","NA","7ZZFV3"
"18","15","","2018-07-25 15:49:41.732287","23","m","3","3","3","5","5","5","5","6","5","4","2","50","60","45","NA","NA","NA","5.0","4.25","4.63","0.5","-1.0","0.6","-1.0","0.45","-1.0","0.571","1.0","probability","2","0","0.243363891754152","100","NA","IQA91K"
"19","15","","2018-07-25 15:49:42.139906","23","m","3","3","3","5","5","5","5","6","5","4","2","50","60","45","NA","NA","NA","5.0","4.25","4.63","0.5","-1.0","0.6","-1.0","0.45","-1.0","0.571","1.0","probability","2","0","0.243363891754152","100","NA","63TKJ1"
"20","15","null","2018-07-25 15:51:24.333964","27","f","2","2","3","5","4","5","5","5","5","4","1","40","75","25","NA","NA","NA","4.75","3.75","4.25","0.4","-1.0","0.75","-1.0","0.25","-1.0","0.667","0.25","probability","2","0","0.426185825244511","25","NA","RLRCYA"
"21","4","","2018-07-25 15:52:41.015088","36","f","2","2","1","5","5","5","5","3","5","5","2","15","95","5","NA","NA","NA","5.0","3.75","4.38","0.15","-1.0","0.95","-1.0","0.05","-1.0","0.77","0.95","probability","2","0","0.0912328801163658","95","NA","ZH1AOP"
"22","22","","2018-07-25 15:55:22.065487","41","f","2","5","2","4","4","5","5","3","3","3","1","20","50","50","NA","NA","NA","4.5","2.5","3.5","0.2","-1.0","0.5","-1.0","0.5","-1.0","0.2","0.18","probability","2","0","0.0457574905606752","18","NA","3FNJRI"
"23","22","1dd499a83752a8fa","2018-07-25 15:55:58.010113","34","f","2","1","1","3","4","1","1","6","4","4","3","20","20","90","NA","NA","NA","2.25","4.25","3.25","0.2","-1.0","0.2","-1.0","0.9","-1.0","0.053","0.1","probability","2","0","0.275724130399211","10","NA","3RLH26"
"24","23","","2018-07-25 15:57:04.182638","29","m","4","3","1","6","6","6","6","6","6","6","1","10","100","100","NA","NA","NA","6.0","4.75","5.38","0.1","-1.0","1.0","-1.0","1.0","-1.0","0.1","1.0","probability","2","0","1.0","100","NA","6HAETK"
"25","17","","2018-07-25 15:57:24.078662","61","f","2","4","3","2","2","3","3","4","5","2","3","30","80","50","NA","NA","NA","2.5","3.5","3.0","0.3","-1.0","0.8","-1.0","0.5","-1.0","0.407","0.8","probability","2","0","0.293495577766724","80","NA","XNCIGU"
"26","24","","2018-07-25 15:59:29.923637","29","m","3","4","2","4","5","6","6","3","1","3","3","30","27","70","NA","NA","NA","5.25","2.5","3.88","0.3","-1.0","0.27","-1.0","0.7","-1.0","0.142","0.27","probability","2","0","0.279075419775931","27","NA","PIBFRM"
"27","26","","2018-07-25 16:02:33.986283","66","f","2","2","2","5","5","5","5","5","6","1","1","50","95","25","NA","NA","NA","5.0","3.25","4.13","0.5","-1.0","0.95","-1.0","0.25","-1.0","0.792","0.95","probability","2","0","0.0789984236993542","95","NA","6K6L91"
"28","27","1896aa6b82fe211e","2018-07-25 16:03:40.071517","31","m","3","2","2","6","6","6","6","6","6","6","1","30","20","50","NA","NA","NA","6.0","4.75","5.38","0.3","-1.0","0.2","-1.0","0.5","-1.0","0.146","0.5","probability","2","0","0.534617148551582","50","NA","A93ATN"
