"event","timestampms","sid","node.id","n_format","wave","duration"
"mouseover",1531925239164,"b251bf10ccc50e7a","B","freq",1,865
"mouseover",1531925240030,"b251bf10ccc50e7a","A","freq",1,617
"mouseover",1531925240648,"b251bf10ccc50e7a","B","freq",1,549
"mouseover",1531925241197,"b251bf10ccc50e7a","B","freq",1,349
"mouseover",1531925241547,"b251bf10ccc50e7a","D","freq",1,565
"mouseover",1531925242113,"b251bf10ccc50e7a","B","freq",1,2766
"mouseover",1531925244880,"b251bf10ccc50e7a","B","freq",1,49
"mouseover",1531925244931,"b251bf10ccc50e7a","E","freq",1,480
"mouseover",1531925245413,"b251bf10ccc50e7a","D","freq",1,399
"mouseover",1531925245813,"b251bf10ccc50e7a","D","freq",1,585
"mouseover",1531925246398,"b251bf10ccc50e7a","D","freq",1,864
"mouseover",1531925247264,"b251bf10ccc50e7a","B","freq",1,314
"mouseover",1531925247580,"b251bf10ccc50e7a","B","freq",1,2081
"mouseover",1531925249662,"b251bf10ccc50e7a","D","freq",1,1150
"mouseover",1531925250813,"b251bf10ccc50e7a","B","freq",1,549
"mouseover",1531925251362,"b251bf10ccc50e7a","E","freq",1,722
"mouseover",1531925252085,"b251bf10ccc50e7a","D","freq",1,794
"mouseover",1531925252880,"b251bf10ccc50e7a","E","freq",1,748
"mouseover",1531925253629,"b251bf10ccc50e7a","F","freq",1,1650
"mouseover",1531925255280,"b251bf10ccc50e7a","G","freq",1,848
"mouseover",1531925256129,"b251bf10ccc50e7a","F","freq",1,599
"mouseover",1531925256729,"b251bf10ccc50e7a","G","freq",1,715
"mouseover",1531925257445,"b251bf10ccc50e7a","G","freq",1,33
"mouseover",1531925257478,"b251bf10ccc50e7a","F","freq",1,67
"mouseover",1531925257545,"b251bf10ccc50e7a","E","freq",1,99
"mouseover",1531925257645,"b251bf10ccc50e7a","D","freq",1,917
"mouseover",1531925258563,"b251bf10ccc50e7a","E","freq",1,298
"mouseover",1531925258862,"b251bf10ccc50e7a","A","freq",1,1267
"mouseover",1531925260131,"b251bf10ccc50e7a","A","freq",1,3569
"mouseover",1531925263702,"b251bf10ccc50e7a","A","freq",1,959
"mouseover",1531925264661,"b251bf10ccc50e7a","B","freq",1,1067
"mouseover",1531925265728,"b251bf10ccc50e7a","D","freq",1,717
"mouseover",1531925266445,"b251bf10ccc50e7a","E","freq",1,1235
"mouseover",1531925267681,"b251bf10ccc50e7a","B","freq",1,963
"mouseover",1531925268645,"b251bf10ccc50e7a","C","freq",1,748
"mouseover",1531925269400,"b251bf10ccc50e7a","H","freq",1,8696
"mouseover",1531925278098,"b251bf10ccc50e7a","H","freq",1,1345
"mouseover",1531925279444,"b251bf10ccc50e7a","H","freq",1,7148
"mouseover",1531925286592,"b251bf10ccc50e7a","C","freq",1,84
"mouseover",1531925286676,"b251bf10ccc50e7a","G","freq",1,316
"mouseover",1531925286993,"b251bf10ccc50e7a","F","freq",1,483
"mouseover",1531925287476,"b251bf10ccc50e7a","G","freq",1,1417
"mouseover",1531925288894,"b251bf10ccc50e7a","G","freq",1,82
"mouseover",1531925288976,"b251bf10ccc50e7a","F","freq",1,67
"mouseover",1531925289043,"b251bf10ccc50e7a","E","freq",1,266
"mouseover",1531925289310,"b251bf10ccc50e7a","B","freq",1,299
"mouseover",1531925289610,"b251bf10ccc50e7a","D","freq",1,915
"mouseover",1531925290526,"b251bf10ccc50e7a","E","freq",1,151
"mouseover",1531925290677,"b251bf10ccc50e7a","F","freq",1,268
"mouseover",1531925290945,"b251bf10ccc50e7a","G","freq",1,133
"mouseover",1531925291078,"b251bf10ccc50e7a","F","freq",1,48
"mouseover",1531925291127,"b251bf10ccc50e7a","E","freq",1,449
"mouseover",1531925291577,"b251bf10ccc50e7a","B","freq",1,832
"mouseover",1531925292410,"b251bf10ccc50e7a","E","freq",1,382
"mouseover",1531925292793,"b251bf10ccc50e7a","C","freq",1,3699
"mouseover",1531925273207,"ca9e52483797a086","A","freq",1,2289
"mouseover",1531925275498,"ca9e52483797a086","B","freq",1,1186
"mouseover",1531925276684,"ca9e52483797a086","C","freq",1,969
"mouseover",1531925277653,"ca9e52483797a086","B","freq",1,5100
"mouseover",1531925282754,"ca9e52483797a086","C","freq",1,312
"mouseover",1531925283069,"ca9e52483797a086","H","freq",1,6660
"mouseover",1531925289730,"ca9e52483797a086","H","freq",1,23404
"mouseover",1531925313134,"ca9e52483797a086","A","freq",1,1280
"mouseover",1531925314414,"ca9e52483797a086","C","freq",1,2441
"mouseover",1531925316857,"ca9e52483797a086","H","freq",1,3347
