"Ps","Scanpath","Scanpath_complex","id","PID","date.time","age","gender","education","alarm","fire","fractions","percent","tip","shirt","newspaper","prob1","prob2","howoften","input1","input2","input3","input4","input5","input6","sub_n1","sub_n2","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","correct_answer","given_answer","numerical_format","condition","correctness","bias_error","answer1","answer2","amazon_codex","Wave"
"03111423d9d857bc","GFBGFBAABBABCBDDECHAABGFD","G:35,F:77,B:9463,G:64,F:551,B:214,A:965,A:1599,B:382,B:1316,A:933,B:316,C:1344,B:81,D:616,D:3514,E:663,C:2975,H:5106,A:1962,A:2248,B:11331,G:18,F:434,D:4230",7,2,1532703894365.23,66,"f",4,4,2,3,3,5,5,4,5,2,2,1,100,1,100,10,100,4,3.25,3.63,0.01,0.1,0.01,0.5,0.1,0.27,0.171,0.1,"frequency",1,0,0.232996110392154,100,1000,"1QYXZN",2
"04c15a582b3827f6","ABCEDEFGECHADEBAABDCEDCABDCH","A:1366,B:986,C:1157,E:199,D:1319,E:787,F:647,G:7941,E:53,C:319,H:17977,A:573,D:838,E:1518,B:959,A:774,A:186,B:971,D:614,C:1785,E:319,D:2452,C:665,A:465,B:120,D:427,C:6650,H:9849",115,115,1532975160876.43,28,"m",4,3,2,4,4,4,4,4,6,6,1,1,10,10,10,10,10,4,4.25,4.13,0.1,0.1,1,0.5,1,0.27,0.171,0.05,"frequency",1,0,0.534026106056135,50,1000,"94Q760",2
"05a3fd7a2c3d478d","DDEFGCBAACADEFG","D:2062,D:1091,E:637,F:959,G:1357,C:1544,B:1397,A:80,A:5633,C:990,A:985,D:107,E:241,F:24,G:8906",74,74,1533160219538.97,39,"f",4,2,3,6,5,5,3,6,4,5,2,50,76,69,NA,NA,NA,4.75,4.25,4.5,0.5,0.1,0.76,0.5,0.69,0.27,0.171,0.5,"probability",2,0,0.465973893943865,50,NA,"F1IBA3",2
"05dd0a3d114e6e8b","ABCDBBEDEEFGHABBDEFGGEEDECFGGF","A:913,B:935,C:1027,D:1499,B:300,B:49,E:399,D:149,E:434,E:532,F:467,G:2664,H:7995,A:83,B:451,B:1050,D:1032,E:500,F:350,G:3881,G:651,E:484,E:1015,D:1149,E:83,C:6266,F:299,G:416,G:318,F:3498",7,2,1532530035726.71,32,"f",3,2,2,4,4,4,5,4,6,1,2,1,95,20,NA,NA,NA,4.25,3.25,3.75,0.01,-1,0.95,-1,0.2,-1,0.046,0.2,"probability",2,0,0.638272163982407,20,NA,"V0G92I",1
"07f8b759d84f12be","ACCCAAHHHB","A:149,C:82,C:998,C:1248,A:149,A:133,H:914,H:132,H:3428,B:2229",109,109,1533197206304.57,23,"m",3,3,2,3,2,1,1,5,2,5,3,10,15,1,NA,NA,NA,1.75,3.75,2.75,0.1,0.1,0.15,0.5,0.01,0.27,0.171,0.4,"probability",2,0,0.369063880935808,40,NA,"9BGFDD",2
"0853466f733ad74b","EABCFHFEDECA","E:315,A:829,B:1172,C:942,F:2781,H:8176,F:16,E:366,D:468,E:30,C:2147,A:4535",31,31,1532761066511.43,55,"f",3,3,2,4,4,6,6,5,5,2,2,1,100,1,25,1,10,5,3.5,4.25,0.01,0.1,0.04,0.5,0.1,0.27,0.171,0.05,"frequency",1,0,0.534026106056135,50,1000,"2DZ5W4",2
"0883f07001f82513","BECFDBDDEEFCCBADDEEEFFFGGCBBDDBBCEBDBCEEFG","B:3329,E:483,C:211,F:483,D:546,B:448,D:267,D:501,E:262,E:414,F:466,C:233,C:132,B:330,A:416,D:317,D:149,E:183,E:165,E:97,F:251,F:182,F:99,G:146,G:214,C:283,B:200,B:232,D:132,D:165,B:165,B:399,C:747,E:1400,B:799,D:499,B:1416,C:417,E:336,E:230,F:783,G:4100",159,159,1533264603794.6,25,"f",3,3,2,5,4,5,5,5,4,5,2,15,10,20,NA,NA,NA,4.75,4,4.38,0.15,0.1,0.1,0.5,0.2,0.27,0.171,0.27,"probability",2,0,0.198367653766833,27,NA,"WCMBWG",2
"09521e065ea03c04","BHABCEDEFGFEBBDCHABDEBC","B:1120,H:4944,A:1303,B:710,C:1131,E:382,D:789,E:797,F:518,G:1312,F:189,E:223,B:155,B:82,D:506,C:577,H:1696,A:172,B:278,D:643,E:1280,B:1441,C:2379",51,50,1533139404391.55,42,"f",2,3,2,4,4,4,5,5,6,1,1,25,90,10,NA,NA,NA,4.25,3.25,3.75,0.25,0.1,0.9,0.5,0.1,0.27,0.171,0.1,"probability",2,0,0.232996110392154,10,NA,"QLL77D",2
"0a0dfa6b8d9d1ad6","ADDDBBAAABDBBAABBDBBEACFGGCCGGCCCCGHGFCAABEBBDBBEBACFCGHHCCCFCCHCFCCABABBDCHBBDBAHCCFAAABDBBAHCCCGCCGFEDBA","A:4746,D:6245,D:748,D:1815,B:313,B:365,A:701,A:49,A:4097,B:8798,D:3149,B:33,B:332,A:1300,A:246,B:3399,B:148,D:1715,B:250,B:930,E:4628,A:1283,C:2545,F:2681,G:7143,G:933,C:881,C:148,G:1516,G:1382,C:49,C:486,C:345,C:383,G:6903,H:22536,G:48,F:33,C:432,A:3966,A:448,B:3631,E:6614,B:3767,B:1281,D:2016,B:586,B:828,E:4233,B:698,A:1149,C:4880,F:1200,C:617,G:3615,H:307,H:12789,C:517,C:281,C:1015,F:4132,C:50,C:531,H:6680,C:3849,F:3083,C:49,C:215,A:899,B:1481,A:3018,B:3364,B:716,D:5599,C:1347,H:24788,B:2709,B:964,D:6318,B:663,A:931,H:9216,C:916,C:231,F:4615,A:66,A:782,A:472,B:3024,D:5582,B:222,B:3441,A:1064,H:52764,C:200,C:245,C:149,G:2833,C:866,C:483,G:2965,F:615,E:983,D:1216,B:782,A:18551",27,27,1532483828864.11,62,"f",3,2,1,5,3,2,2,4,5,5,1,1,720,100,100,4,720,3,3.75,3.38,0.001,-1,1,-1,0.006,-1,0.143,0,"frequency",1,0,0,1,1000,"7OSOL7",1
"0a38670feb5421ff","AAHDBB","A:83,A:3188,H:10529,D:723,B:67,B:2767",131,130,1533223347250.12,18,"f",2,3,2,5,5,4,4,5,5,1,2,30,90,40,NA,NA,NA,4.5,3.25,3.88,0.3,0.1,0.9,0.5,0.4,0.27,0.171,0.1,"probability",2,0,0.232996110392154,10,NA,"T30ER5",2
