"id","PID","ucivit_id","date/time","age","gender","education","alarm","fire","fractions","percent","tip","shirt","newspaper","prob1","prob2","howoften","input1","input2","input3","input4","input5","input6","sub_n1","sub_n2","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","correct_answer","given_answer","numerical_format","condition","correctness","bias_error","answer1","answer2","amazon_codex"
"1","1","2e27ecc078a61359","2018-07-24 12:56:11.416848","19","m","2","3","1","6","6","6","6","5","5","2","2","1","500","7","8","9","10","6.0","3.5","4.75","0.002","-1.0","0.875","-1.0","0.9","-1.0","0.002","0.0","frequency","1","1","0.0","2","900","MING4A"
"2","2","","2018-07-24 14:21:49.043225","25","m","3","4","3","5","4","3","4","5","4","5","2","75","100","75","100","25","100","4.0","4.0","4.0","0.75","-1.0","0.75","-1.0","0.25","-1.0","0.9","0.75","frequency","1","0","0.0791812460476249","750","1000","287I4E"
"3","2","2f9dd9e3692ae831","2018-07-24 14:23:09.676998","28","f","3","2","3","5","3","5","4","4","3","5","2","2","3","6","9","6","10","4.25","3.5","3.88","0.667","-1.0","0.667","-1.0","0.6","-1.0","0.69","0.5","frequency","1","0","0.139879086401236","5","10","CFJ8LJ"
"4","3","a77e22d5e1fd4ca7","2018-07-24 14:25:21.170160","40","f","3","2","2","3","3","4","4","4","2","5","3","1","1000","1","50","1","50","3.5","3.5","3.5","0.001","-1.0","0.02","-1.0","0.02","-1.0","0.001","0.0","frequency","1","1","0.0","1","1000","UP5I78"
"5","4","","2018-07-24 14:25:37.607716","41","f","3","3","2","5","5","5","6","4","6","2","1","1","25","1","100","1","50","5.25","3.25","4.25","0.04","-1.0","0.01","-1.0","0.02","-1.0","0.02","0.5","frequency","1","0","1.39794000867204","1","2","M58NR6"
"6","3","null","2018-07-24 14:27:56.273349","37","f","3","3","1","1","4","6","6","6","1","6","1","15","100","80","100","10","100","4.25","3.5","3.88","0.15","-1.0","0.8","-1.0","0.1","-1.0","0.585","0.12","frequency","1","0","0.687974620034556","120","1000","AMGQV4"
"7","3","","2018-07-24 14:28:37.313271","31","f","3","5","2","4","5","6","5","5","5","1","1","1","900","1","1","1","10","5.0","3.0","4.0","0.001","-1.0","1.0","-1.0","0.1","-1.0","0.01","0.0","frequency","1","1","0.0","1","1000","IW9N35"
"8","3","","2018-07-24 14:30:02.127504","43","f","3","2","2","5","5","5","6","5","6","1","1","1","800","1","100","99","100","5.25","3.25","4.25","0.001","-1.0","0.01","-1.0","0.99","-1.0","0.0","0.0","frequency","1","1","0.0","1","1000","E4GFS8"
"9","4","","2018-07-24 14:30:35.561688","56","f","4","2","1","4","4","5","5","5","6","1","1","1","10000","80","100","99","100","4.5","3.25","3.88","0.0","-1.0","0.8","-1.0","0.99","-1.0","0.0","0.0","frequency","1","1","0.0","1","10000","87N18C"
"10","6","","2018-07-24 14:31:53.449751","35","f","3","1","3","3","2","4","5","5","5","4","2","30","100","20","100","10","100","3.5","4.0","3.75","0.3","-1.0","0.2","-1.0","0.1","-1.0","0.462","0.5","frequency","1","0","0.0343280287798933","50","100","ZAXOUV"
"11","8","","2018-07-24 14:32:47.997715","30","f","4","3","1","6","6","6","6","6","6","1","2","3","100","10","100","90","100","6.0","3.75","4.88","0.03","-1.0","0.1","-1.0","0.9","-1.0","0.003","0.0","frequency","1","1","0.0","3","1000","AO6MJA"
"12","10","","2018-07-24 14:34:48.451850","25","m","4","3","1","6","6","6","6","6","5","1","1","1","500","9","10","1","100","6.0","3.25","4.63","0.002","-1.0","0.9","-1.0","0.01","-1.0","0.153","0.17","frequency","1","0","0.0457574905606751","1","6","NR49KS"
"13","11","9c09ef8d6e4bbcfe","2018-07-24 14:35:12.237203","27","m","3","1","1","2","4","3","6","2","5","5","5","6","10","21","30","40","50","3.75","4.25","4.0","0.6","-1.0","0.7","-1.0","0.8","-1.0","0.568","0.98","frequency","1","0","0.236877739981476","49","50","C7TYNS"
"14","12","e62519fb4c4eb583","2018-07-24 14:36:15.932659","36","f","4","2","2","4","4","5","5","3","4","5","2","4","100","3","4","1","4","4.5","3.5","4.0","0.04","-1.0","0.75","-1.0","0.25","-1.0","0.111","0.04","frequency","1","0","0.443262987458695","40","1000","QRZFTA"
"15","12","","2018-07-24 14:37:07.572411","37","m","3","2","2","5","5","5","5","5","5","5","2","1","15000","1","15000","1","1000","5.0","4.25","4.63","0.0","-1.0","0.0","-1.0","0.001","-1.0","0.0","0.0","frequency","1","1","0.0","1","1000","0KFKN3"
"16","12","","2018-07-24 14:37:16.878008","35","m","3","3","3","3","6","6","2","1","1","6","3","1","100","100","1000","10","1000","4.25","2.75","3.5","0.01","-1.0","0.1","-1.0","0.01","-1.0","0.092","0.4","frequency","1","0","0.638272163982407","4","10","0ER3X9"
"17","10","","2018-07-24 14:37:19.136500","31","f","2","3","1","3","3","3","4","5","2","2","2","1","200","1","100","25","100","3.25","2.75","3.0","0.005","-1.0","0.01","-1.0","0.25","-1.0","0.0","0.0","frequency","1","1","0.0","0","1000","DPHWT1"
"18","14","","2018-07-24 14:38:41.251220","29","m","3","2","1","6","6","6","6","6","6","1","2","3","100","3","10","9","10","6.0","3.75","4.88","0.03","-1.0","0.3","-1.0","0.9","-1.0","0.01","0.01","frequency","1","1","0.0","9","882","FKXUF3"
"19","12","null","2018-07-24 14:38:58.246916","37","m","4","3","2","4","5","5","5","6","4","2","2","2","10","9","10","6","10","4.75","3.5","4.13","0.2","-1.0","0.9","-1.0","0.6","-1.0","0.273","0.18","frequency","1","0","0.18089014193745","18","100","F7QEIC"
"20","13","","2018-07-24 14:40:03.314356","30","f","3","5","2","6","6","6","6","6","4","1","2","1","1000","98","100","2","100","6.0","3.25","4.63","0.001","-1.0","0.98","-1.0","0.02","-1.0","0.047","0.05","frequency","1","1","0.0268721464003013","1","21","N0L010"
"21","15","","2018-07-24 14:41:22.479514","33","f","4","2","1","2","4","2","5","6","5","3","1","10","100","30","100","10","100","3.25","3.75","3.5","0.1","-1.0","0.3","-1.0","0.1","-1.0","0.25","0.5","frequency","1","0","0.301029995663981","2","4","QWU9O4"
"22","18","","2018-07-24 14:42:23.683463","32","m","3","2","3","6","6","6","6","2","1","6","1","1","1000","1","10","9","10","6.0","2.5","4.25","0.001","-1.0","0.1","-1.0","0.9","-1.0","0.0","0.0","frequency","1","1","0.0","0","1000","2ZBKNK"
"23","11","","2018-07-24 14:42:26.667667","39","f","2","2","2","2","3","3","3","4","4","4","3","6","27","2","27","19","27","2.75","3.75","3.25","0.222","-1.0","0.074","-1.0","0.704","-1.0","0.029","0.22","frequency","1","0","0.88002468292325","222","1000","4AEP3W"
"24","22","","2018-07-24 14:44:46.551428","37","m","2","1","1","3","3","3","5","5","4","4","2","5","100","50","1000","1","10","3.5","3.75","3.63","0.05","-1.0","0.05","-1.0","0.1","-1.0","0.026","0.05","frequency","1","0","0.283996656365201","50","1000","OKJESA"
"25","18","","2018-07-24 14:45:00.008552","42","f","4","3","2","3","3","5","5","5","5","2","2","1","50000","19","20","1","3","4.0","3.5","3.75","0.0","-1.0","0.95","-1.0","0.333","-1.0","0.0","0.0","frequency","1","1","0.0","0","1000","O9026I"
"26","21","","2018-07-24 14:45:56.529557","28","m","4","3","3","5","6","6","6","5","6","1","1","15","100","90","100","25","100","5.75","3.25","4.5","0.15","-1.0","0.9","-1.0","0.25","-1.0","0.388","0.14","frequency","1","0","0.442703689915969","135","1000","OQ26U9"
"27","22","4211888bb3fea4f4","2018-07-24 14:46:09.438100","56","f","3","3","2","5","5","6","6","5","5","2","2","1","4000","99","100","1","50","5.5","3.5","4.5","0.0","-1.0","0.99","-1.0","0.02","-1.0","0.0","0.0","frequency","1","1","0.0","0","1000","67BCWT"
"28","24","","2018-07-24 14:47:27.902906","29","f","4","3","1","5","6","6","6","4","5","2","2","1","100","1","50","1","25","5.75","3.25","4.5","0.01","-1.0","0.02","-1.0","0.04","-1.0","0.005","0.0","frequency","1","1","0.0","0","10","UG0TGK"
"29","24","","2018-07-24 14:48:25.720891","30","m","2","4","2","5","5","5","5","5","5","1","2","1","30","1","20","1","10","5.0","3.25","4.13","0.033","-1.0","0.05","-1.0","0.1","-1.0","0.017","0.0","frequency","1","0","0.0","1","500","WCQ4RQ"
"30","28","","2018-07-24 14:50:09.178166","37","f","3","3","2","4","4","4","5","5","5","1","2","27","100","10","100","17","100","4.25","3.25","3.75","0.27","-1.0","0.1","-1.0","0.17","-1.0","0.179","0.1","frequency","1","0","0.252853030979893","27","270","BVPEX3"
"31","30","","2018-07-24 14:50:21.888104","25","f","4","4","3","4","3","5","6","3","3","3","1","1","10","5","10","4","10","4.5","2.5","3.5","0.1","-1.0","0.5","-1.0","0.4","-1.0","0.122","0.05","frequency","1","0","0.387389826338729","50","1000","ZQCHYM"
"32","26","afbd17bf5a5f497b","2018-07-24 14:51:01.183867","45","m","4","3","2","5","5","5","5","6","5","5","1","3","10","1","10","1","10","5.0","4.25","4.63","0.3","-1.0","0.1","-1.0","0.1","-1.0","0.3","0.3","frequency","1","1","0.0","300","1000","7TN6PN"
"33","28","","2018-07-24 14:52:30.362652","25","f","3","3","3","1","4","4","4","3","1","6","3","10","101","1","100","15","100","3.25","3.25","3.25","0.099","-1.0","0.01","-1.0","0.15","-1.0","0.007","0.1","frequency","1","0","1.15490195998574","100","1000","GR85V1"
"34","30","","2018-07-24 14:53:08.184478","33","m","3","3","1","4","4","5","5","5","6","1","1","1","1000","200","1000","800","1000","4.5","3.25","3.88","0.001","-1.0","0.2","-1.0","0.8","-1.0","0.0","0.0","frequency","1","1","0.0","0","1000","XMSY5J"
"35","30","","2018-07-24 14:53:45.922948","43","f","3","3","1","4","4","5","5","5","5","2","1","5","100","80","100","10","100","4.5","3.25","3.88","0.05","-1.0","0.8","-1.0","0.1","-1.0","0.296","0.05","frequency","1","0","0.77232170672292","50","1000","2Q6TZ2"
"36","33","","2018-07-24 14:54:38.613722","33","m","4","5","4","6","6","5","5","6","1","6","1","85","100","76","100","78","100","5.5","3.5","4.5","0.85","-1.0","0.76","-1.0","0.78","-1.0","0.847","0.92","frequency","1","0","0.0359044170148484","646","700","AIY67S"
"37","34","","2018-07-24 14:54:58.137365","34","m","3","3","4","5","5","6","6","5","5","4","1","75","85","90","98","95","100","5.5","3.75","4.63","0.882","-1.0","0.918","-1.0","0.95","-1.0","0.878","0.84","frequency","1","0","0.0192152298442209","80","95","LFF66O"
"38","33","","2018-07-24 14:58:34.579777","23","m","3","4","4","6","6","6","6","6","6","6","1","1","3","3","5","3","5","6.0","4.75","5.38","0.333","-1.0","0.6","-1.0","0.6","-1.0","0.333","0.0","frequency","1","0","0.0","1","1000","Q7GOEN"
"39","33","","2018-07-24 14:59:26.846991","36","m","3","3","1","6","6","6","6","6","5","2","1","1","100","97","100","10","100","6.0","3.5","4.75","0.01","-1.0","0.97","-1.0","0.1","-1.0","0.089","0.01","frequency","1","0","0.949390006644913","1","100","O6ZPE0"
"40","40","null","2018-07-24 15:07:01.069439","25","m","3","2","1","5","5","5","5","5","4","4","2","27","100","10","100","5","100","5.0","3.75","4.38","0.27","-1.0","0.1","-1.0","0.05","-1.0","0.425","0.1","frequency","1","0","0.628388930050311","27","270","Q53T5G"
"41","40","85356cc795c3856c","2018-07-24 15:13:13.543892","28","f","3","2","1","4","5","3","3","2","1","3","3","30","100","27","100","60","100","3.75","2.25","3.0","0.3","-1.0","0.27","-1.0","0.6","-1.0","0.162","0.23","frequency","1","0","0.152212821474962","70","300","PS98RO"
"42","42","","2018-07-24 15:16:06.677676","26","m","3","2","1","4","4","4","4","3","3","2","2","1","1000","9","10","7","10","4.0","2.5","3.25","0.001","-1.0","0.9","-1.0","0.7","-1.0","0.001","0.0","frequency","1","1","0.0","1","1000","SLCYTT"
"43","43","","2018-07-24 15:26:39.946381","55","f","2","2","2","5","5","6","6","5","6","1","1","1","1000","1","1000","2","100","5.5","3.25","4.38","0.001","-1.0","0.001","-1.0","0.02","-1.0","0.0","0.0","frequency","1","1","0.0","1","1000","PWFYKT"
"44","43","efb95d9d08e8afa7","2018-07-24 15:27:26.908242","29","f","3","2","2","3","3","4","4","3","4","4","2","1","1000","1","1000","100","1000","3.5","3.25","3.38","0.001","-1.0","0.001","-1.0","0.1","-1.0","0.0","0.5","frequency","1","0","0.0","50","100","YPZBHQ"
