"id","PID","ucivit_id","date/time","age","gender","education","alarm","fire","fractions","percent","tip","shirt","newspaper","prob1","prob2","howoften","input1","input2","input3","input4","input5","input6","sub_n1","sub_n2","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","correct_answer","given_answer","numerical_format","condition","correctness","bias_error","answer1","answer2","amazon_codex"
"1","1","1544c3fca858af86","2018-07-24 16:34:37.626964","32","m","4","4","5","5","4","4","4","3","2","5","2","10","20","20","30","30","40","4.25","3.0","3.63","0.5","-1.0","0.667","-1.0","0.75","-1.0","0.471","0.89","frequency","1","0","0.276369099516017","80","90","9EW2MJ"
"2","2","","2018-07-24 16:48:43.523845","25","m","3","3","3","6","6","6","2","3","5","4","5","5","10","5","10","9","10","5.0","4.25","4.63","0.5","-1.0","0.5","-1.0","0.9","-1.0","0.357","1.0","frequency","1","0","0.447331783887807","5","5","ZVEH1T"
"3","3","","2018-07-24 17:11:03.920020","57","f","3","2","2","4","1","1","3","5","1","1","2","3","1000","99","100","3","100","2.25","2.25","2.25","0.003","-1.0","0.99","-1.0","0.03","-1.0","0.09","0.0","frequency","1","0","0.0","3","1000","SXDHEM"
"4","4","","2018-07-24 18:20:57.809927","31","m","3","1","3","4","3","5","5","4","5","4","1","3","100","5","50","10","100","4.25","3.5","3.88","0.03","-1.0","0.1","-1.0","0.1","-1.0","0.03","0.03","frequency","1","1","0.0","3","100","W9LBK7"
"5","4","","2018-07-24 18:22:33.731280","29","f","4","2","2","5","5","5","5","5","5","2","1","1","500","1","4","3","4","5.0","3.25","4.13","0.002","-1.0","0.25","-1.0","0.75","-1.0","0.001","0.0","frequency","1","1","0.0","1","750","CB1A1O"
"6","6","","2018-07-24 18:34:36.424018","62","f","3","3","2","4","4","5","5","5","5","2","2","27","100","27","100","27","100","4.5","3.5","4.0","0.27","-1.0","0.27","-1.0","0.27","-1.0","0.27","0.27","frequency","1","1","0.0","73","270","OWUTUI"
"7","7","","2018-07-24 18:43:36.070075","48","f","4","2","2","1","4","4","4","5","2","2","3","10","100","5","100","15","100","3.25","3.0","3.13","0.1","-1.0","0.05","-1.0","0.15","-1.0","0.036","0.01","frequency","1","0","0.556302500767287","5","1000","I5D0S8"
"8","8","","2018-07-24 19:15:03.281158","27","f","3","5","1","1","1","2","2","6","1","1","4","1","50","1","5","1","2","1.5","3.0","2.25","0.02","-1.0","0.2","-1.0","0.5","-1.0","0.008","0.1","frequency","1","0","1.09691001300806","1","10","OD1FPT"
"9","9","null","2018-07-24 19:26:07.940709","31","m","3","2","2","3","3","3","4","1","5","5","2","1","27","1","27","1","27","3.25","3.25","3.25","0.037","-1.0","0.037","-1.0","0.037","-1.0","0.037","0.02","frequency","1","0","0.267171728403014","20","1000","L3Z4WA"
"10","9","","2018-07-24 19:27:45.476451","35","m","3","3","1","4","4","2","2","6","6","1","2","4","10","8","10","4","10","3.0","3.75","3.38","0.4","-1.0","0.8","-1.0","0.4","-1.0","0.571","0.8","frequency","1","0","0.146453878746096","320","400","AD5CGT"
