"Exp","n_gram","Freqz"
"Study1",2,118
"Study1",2,20
"Study1",2,3
"Study1",2,2
"Study1",2,4
"Study1",2,0
"Study1",2,14
"Study1",2,36
"Study1",2,79
"Study1",2,114
"Study1",2,24
"Study1",2,0
"Study1",2,0
"Study1",2,23
"Study1",2,13
"Study1",2,44
"Study1",2,22
"Study1",2,23
"Study1",2,34
"Study1",2,21
"Study1",2,37
"Study1",2,6
"Study1",2,67
"Study1",2,20
"Study1",2,134
"Study1",2,5
"Study1",2,1
"Study1",2,12
"Study1",2,5
"Study1",2,12
"Study1",2,29
"Study1",2,85
"Study1",2,89
"Study1",2,4
"Study1",2,8
"Study1",2,5
"Study1",2,2
"Study1",2,24
"Study1",2,8
"Study1",2,43
"Study1",2,91
"Study1",2,18
"Study1",2,3
"Study1",2,3
"Study1",2,20
"Study1",2,3
"Study1",2,2
"Study1",2,54
"Study1",2,42
"Study1",2,56
"Study1",2,20
"Study1",2,30
"Study1",2,12
"Study1",2,5
"Study1",2,8
"Study1",2,11
"Study1",2,159
"Study1",2,35
"Study1",2,5
"Study1",2,10
"Study1",2,4
"Study1",2,1
"Study1",2,25
"Study1",2,88
"Study1",2,112
"Study1",2,155
"Study1",2,30
"Study1",2,9
"Study1",2,1
"Study1",2,22
"Study1",2,39
"Study1",2,64
"Study1",2,25
"Study1",2,24
"Study1",2,83
"Study1",2,34
"Study1",2,61
"Study1",2,4
"Study1",2,104
"Study1",2,20
"Study1",2,181
"Study1",2,10
"Study1",2,0
"Study1",2,9
"Study1",2,14
"Study1",2,43
"Study1",2,26
"Study1",2,122
"Study1",2,116
"Study1",2,6
"Study1",2,9
"Study1",2,3
"Study1",2,17
"Study1",2,61
"Study1",2,10
"Study1",2,76
"Study1",2,116
"Study1",2,20
"Study1",2,7
"Study1",2,3
"Study1",2,42
"Study1",2,3
"Study1",2,9
"Study1",2,73
"Study1",2,40
"Study1",2,53
"Study1",2,18
"Study1",2,49
"Study1",2,9
"Study1",2,4
"Study1",2,8
"Study1",2,20
"Study2",2,119
"Study2",2,19
"Study2",2,2
"Study2",2,3
"Study2",2,1
"Study2",2,2
"Study2",2,21
"Study2",2,33
"Study2",2,84
"Study2",2,115
"Study2",2,23
"Study2",2,7
"Study2",2,1
"Study2",2,24
"Study2",2,20
"Study2",2,45
"Study2",2,24
"Study2",2,19
"Study2",2,49
"Study2",2,22
"Study2",2,55
"Study2",2,0
"Study2",2,61
"Study2",2,23
"Study2",2,146
"Study2",2,3
"Study2",2,4
"Study2",2,9
"Study2",2,6
"Study2",2,20
"Study2",2,35
"Study2",2,93
"Study2",2,91
"Study2",2,3
"Study2",2,10
"Study2",2,4
"Study2",2,7
"Study2",2,39
"Study2",2,2
"Study2",2,55
"Study2",2,99
"Study2",2,12
"Study2",2,4
"Study2",2,2
"Study2",2,19
"Study2",2,3
"Study2",2,7
"Study2",2,65
"Study2",2,45
"Study2",2,47
"Study2",2,28
"Study2",2,40
"Study2",2,11
"Study2",2,9
"Study2",2,7
"Study2",2,17
"Study2",2,181
"Study2",2,38
"Study2",2,9
"Study2",2,9
"Study2",2,6
"Study2",2,3
"Study2",2,40
"Study2",2,95
"Study2",2,105
"Study2",2,157
"Study2",2,16
"Study2",2,8
"Study2",2,3
"Study2",2,22
"Study2",2,49
"Study2",2,57
"Study2",2,22
"Study2",2,25
"Study2",2,57
"Study2",2,28
"Study2",2,42
"Study2",2,8
"Study2",2,81
"Study2",2,26
"Study2",2,221
"Study2",2,1
"Study2",2,3
"Study2",2,12
"Study2",2,8
"Study2",2,32
"Study2",2,18
"Study2",2,149
"Study2",2,138
"Study2",2,9
"Study2",2,9
"Study2",2,10
"Study2",2,12
"Study2",2,36
"Study2",2,3
"Study2",2,79
"Study2",2,132
"Study2",2,20
"Study2",2,5
"Study2",2,9
"Study2",2,38
"Study2",2,2
"Study2",2,3
"Study2",2,77
"Study2",2,44
"Study2",2,75
"Study2",2,22
"Study2",2,36
"Study2",2,13
"Study2",2,8
"Study2",2,13
"Study2",2,14
