"id","PID","ucivit_id","date/time","age","gender","education","alarm","fire","fractions","percent","tip","shirt","newspaper","prob1","prob2","howoften","input1","input2","input3","input4","input5","input6","sub_n1","sub_n2","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","correct_answer","given_answer","numerical_format","condition","correctness","bias_error","answer1","answer2","amazon_codex"
"1","1","","2018-07-27 15:49:27.632715","29","m","4","3","3","4","4","4","4","4","4","4","3","27","100","27","100","27","100","4.0","3.75","3.88","0.27","0.1","0.27","0.5","0.27","0.27","0.171","0.5","frequency","1","0","0.465973893943865","50","100","MQV85Z"
"2","2","1896aa6b82fe211e","2018-07-27 15:54:55.999778","31","m","3","2","2","3","3","4","2","3","2","4","4","1","10","1","10","2","10","3.0","3.25","3.13","0.1","0.1","0.1","0.5","0.2","0.27","0.171","0.5","frequency","1","0","0.465973893943865","50","100","4U3CXC"
"3","2","ec7f046b14cabe67","2018-07-27 15:55:22.288609","25","m","3","3","3","6","5","2","3","6","5","5","2","10","10","10","10","10","10","4.0","4.5","4.25","1.0","0.1","1.0","0.5","1.0","0.27","0.171","1.0","frequency","1","0","0.767003889607846","10","10","A00QKM"
"4","2","","2018-07-27 15:57:33.689826","58","f","3","3","2","4","4","6","6","5","1","1","2","4","100","2","100","40","100","5.0","2.25","3.63","0.04","0.1","0.02","0.5","0.4","0.27","0.171","0.1","frequency","1","0","0.232996110392154","100","1000","K8RW74"
"5","2","","2018-07-27 15:58:43.619753","34","m","3","3","3","5","5","5","5","6","5","2","2","30","100","50","100","20","100","5.0","3.75","4.38","0.3","0.1","0.5","0.5","0.2","0.27","0.171","0.5","frequency","1","0","0.465973893943865","50","100","7L9Y57"
"6","6","","2018-07-27 16:03:24.417571","32","f","4","3","1","3","3","2","4","5","6","1","3","2","10","9","10","5","10","3.0","3.75","3.38","0.2","0.1","0.9","0.5","0.5","0.27","0.171","0.5","frequency","1","0","0.465973893943865","1","2","851IIJ"
"7","2","","2018-07-27 16:04:54.365227","66","f","4","4","2","3","3","5","5","4","5","2","2","1","100","1","100","10","100","4.0","3.25","3.63","0.01","0.1","0.01","0.5","0.1","0.27","0.171","0.1","frequency","1","0","0.232996110392154","100","1000","1QYXZN"
"8","8","","2018-07-27 16:57:03.594305","34","m","3","1","2","3","4","5","6","5","4","3","2","1","2","1","2","1","10","4.5","3.5","4.0","0.5","0.1","0.5","0.5","0.1","0.27","0.171","1.0","frequency","1","0","0.767003889607846","1","1","084VC6"
"9","9","","2018-07-27 17:12:44.033831","27","f","3","2","2","2","3","4","3","6","5","3","3","1","1000","3","4","4","5","3.0","4.25","3.63","0.001","0.1","0.75","0.5","0.8","0.27","0.171","0.05","frequency","1","0","0.534026106056135","50","1000","PDD31G"
"10","10","","2018-07-27 17:34:38.388135","24","m","3","2","3","5","5","4","6","5","5","3","2","3","10","4","5","1","5","5.0","3.75","4.38","0.3","0.1","0.8","0.5","0.2","0.27","0.171","0.5","frequency","1","0","0.465973893943865","50","100","CWWTTQ"
