"id","PID","ucivit_id","date/time","age","gender","education","alarm","fire","fractions","percent","tip","shirt","newspaper","prob1","prob2","howoften","input1","input2","input3","input4","input5","input6","sub_n1","sub_n2","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","correct_answer","given_answer","numerical_format","condition","correctness","bias_error","answer1","answer2","amazon_codex"
"1","1","","2018-08-01 13:50:35.766344","24","m","4","5","1","4","4","4","4","3","4","2","3","6","76","5","NA","NA","NA","4.0","3.0","3.5","0.06","0.1","0.76","0.5","0.05","0.27","0.171","0.5","probability","2","0","0.465973893943865","50","NA","A16QV8"
"2","1","1544c3fca858af86","2018-08-01 13:50:37.893392","32","m","3","3","3","6","5","5","6","5","6","6","2","50","50","25","NA","NA","NA","5.5","4.75","5.13","0.5","0.1","0.5","0.5","0.25","0.27","0.171","1.0","probability","2","0","0.767003889607846","100","NA","GR8JES"
"3","1","","2018-08-01 13:52:01.340639","34","f","2","3","3","3","3","3","3","5","2","5","4","35","100","60","NA","NA","NA","3.0","4.0","3.5","0.35","0.1","1.0","0.5","0.6","0.27","0.171","0.6","probability","2","0","0.54515513999149","60","NA","EEP1JR"
"4","1","","2018-08-01 13:53:23.527617","22","f","3","2","2","6","6","6","6","4","4","1","1","90","80","80","NA","NA","NA","6.0","2.5","4.25","0.9","0.1","0.8","0.5","0.8","0.27","0.171","0.5","probability","2","0","0.465973893943865","50","NA","LQT7CR"
"5","4","","2018-08-01 13:55:15.766914","44","f","3","3","1","5","5","5","5","6","4","5","2","27","73","50","NA","NA","NA","5.0","4.25","4.63","0.27","0.1","0.73","0.5","0.5","0.27","0.171","0.05","probability","2","0","0.534026106056135","5","NA","FZ2YT0"
"6","5","","2018-08-01 13:55:30.615505","30","m","4","3","3","4","4","4","4","4","4","4","3","27","27","27","NA","NA","NA","4.0","3.75","3.88","0.27","0.1","0.27","0.5","0.27","0.27","0.171","0.5","probability","2","0","0.465973893943865","50","NA","KPO40T"
"7","5","","2018-08-01 13:56:20.660231","33","f","2","1","2","1","1","1","1","2","6","6","4","10","10","12","NA","NA","NA","1.0","4.5","2.75","0.1","0.1","0.1","0.5","0.12","0.27","0.171","0.5","probability","2","0","0.465973893943865","50","NA","13A52H"
"8","1","","2018-08-01 13:57:43.456793","26","f","4","2","1","5","5","5","5","3","5","1","1","35","5","95","NA","NA","NA","5.0","2.5","3.75","0.35","0.1","0.05","0.5","0.95","0.27","0.171","0.1","probability","2","0","0.232996110392154","10","NA","ABZ445"
"9","3","","2018-08-01 13:58:20.987151","41","f","3","2","1","3","5","5","5","5","6","1","1","1","99","20","NA","NA","NA","4.5","3.25","3.88","0.01","0.1","0.99","0.5","0.2","0.27","0.171","0.1","probability","2","0","0.232996110392154","10","NA","EQVKEU"
"10","8","null","2018-08-01 13:58:42.956076","29","m","4","3","3","4","3","4","3","4","3","4","3","27","27","27","NA","NA","NA","3.5","3.5","3.5","0.27","0.1","0.27","0.5","0.27","0.27","0.171","0.5","probability","2","0","0.465973893943865","50","NA","2YUAKZ"
"11","8","57eb2d4005419a0f","2018-08-01 13:59:11.191049","51","f","3","3","3","6","6","6","6","6","6","1","1","25","100","57","NA","NA","NA","6.0","3.5","4.75","0.25","0.1","1.0","0.5","0.57","0.27","0.171","0.5","probability","2","0","0.465973893943865","50","NA","YNVU28"
"12","12","","2018-08-01 14:02:56.637152","43","f","2","3","2","4","4","4","4","4","4","4","3","50","50","50","NA","NA","NA","4.0","3.75","3.88","0.5","0.1","0.5","0.5","0.5","0.27","0.171","0.1","probability","2","0","0.232996110392154","10","NA","GBX5Z1"
"13","12","","2018-08-01 14:04:46.837131","65","m","4","3","3","5","6","5","5","5","1","5","1","50","50","50","NA","NA","NA","5.25","3.0","4.13","0.5","0.1","0.5","0.5","0.5","0.27","0.171","0.5","probability","2","0","0.465973893943865","50","NA","QX7VW5"
"14","13","","2018-08-01 14:07:14.945939","28","f","4","4","1","2","2","2","3","4","1","6","4","40","90","27","NA","NA","NA","2.25","3.75","3.0","0.4","0.1","0.9","0.5","0.27","0.27","0.171","0.5","probability","2","0","0.465973893943865","50","NA","1FQEQG"
"15","15","","2018-08-01 14:09:47.560182","49","m","2","2","2","5","6","6","6","5","5","2","2","25","10","90","NA","NA","NA","5.75","3.5","4.63","0.25","0.1","0.1","0.5","0.9","0.27","0.171","0.01","probability","2","0","1.23299611039215","1","NA","JT7CHX"
"16","15","","2018-08-01 14:11:06.512984","29","m","3","5","3","6","5","5","5","5","5","6","2","20","25","10","NA","NA","NA","5.25","4.5","4.88","0.2","0.1","0.25","0.5","0.1","0.27","0.171","0.5","probability","2","0","0.465973893943865","50","NA","B4GM5N"
"17","16","","2018-08-01 14:12:28.471507","34","f","3","2","1","4","4","4","4","5","6","2","2","15","12","30","NA","NA","NA","4.0","3.75","3.88","0.15","0.1","0.12","0.5","0.3","0.27","0.171","0.05","probability","2","0","0.534026106056135","5","NA","1N4X8T"
